date;code;n_events;tone_sum;tone_cnt;n_14;n_17;n_18;n_19;n_20;n_15;n_16
2023-02-01;BR;761;-1147.6195495115535;761;7.0;23.0;7.0;33.0;0.0;2.0;3.0
2023-02-01;NI;3117;-3569.9865778759613;3117;42.0;68.0;42.0;144.0;4.0;9.0;13.0
2023-02-01;EG;807;-1501.3571455476756;807;4.0;16.0;3.0;35.0;0.0;1.0;8.0
2023-02-01;GM;1267;-2948.8546104618;1267;0.0;70.0;17.0;83.0;0.0;3.0;17.0
2023-02-01;ID;557;-78.47663720661815;557;7.0;31.0;3.0;7.0;0.0;2.0;2.0
2023-02-01;IS;4731;-17482.96977659106;4731;52.0;170.0;81.0;606.0;4.0;19.0;64.0
2023-02-01;MX;852;-2102.831755401749;852;3.0;61.0;9.0;64.0;0.0;0.0;8.0
2023-02-01;MY;373;-6.269000900338057;373;1.0;8.0;0.0;9.0;0.0;0.0;6.0
2023-02-01;SP;760;-617.456139895538;760;8.0;33.0;7.0;27.0;0.0;0.0;8.0
2023-02-01;IN;3576;-2945.7485180939702;3576;32.0;186.0;30.0;171.0;1.0;23.0;25.0
2023-02-01;RS;5084;-15334.813494930391;5084;17.0;235.0;88.0;488.0;8.0;66.0;84.0
2023-02-01;SA;598;-89.15313786833956;598;0.0;17.0;9.0;12.0;0.0;0.0;9.0
2023-02-01;SF;1633;-5269.201587076653;1633;31.0;100.0;28.0;119.0;0.0;12.0;6.0
2023-02-01;TU;1148;-3097.13619479861;1148;18.0;30.0;13.0;62.0;0.0;6.0;31.0
2023-02-01;TW;668;-1168.2207705565215;668;5.0;14.0;0.0;30.0;0.0;21.0;3.0
2023-02-01;UP;4711;-12382.813222151117;4711;12.0;149.0;88.0;439.0;5.0;42.0;49.0
2023-02-01;US;42591;-87718.7767106293;42591;230.0;2555.0;678.0;2509.0;4.0;81.0;404.0
2023-02-01;PK;2394;-10341.07645238815;2394;25.0;118.0;88.0;234.0;0.0;6.0;27.0
2023-02-02;MX;748;-1670.8250153627591;748;1.0;48.0;6.0;44.0;1.0;2.0;0.0
2023-02-02;IS;5866;-19651.05149096825;5866;50.0;215.0;86.0;673.0;8.0;15.0;61.0
2023-02-02;ID;427;-130.67557796011354;427;6.0;15.0;0.0;5.0;0.0;4.0;1.0
2023-02-02;NI;2709;-4881.373383929886;2709;38.0;88.0;47.0;188.0;1.0;11.0;18.0
2023-02-02;EG;981;-1050.0705362215504;981;6.0;13.0;12.0;29.0;0.0;1.0;10.0
2023-02-02;BR;559;-1082.6866166463026;559;6.0;25.0;11.0;18.0;0.0;0.0;2.0
