land;tage;basisrate;M1 Markt;M2 GDELT;M3 Kombi;M0 Persistenz;d_gdelt;ki_lo;ki_hi;d_markt;ki_markt_lo;ki_markt_hi
Israel;467;0.193;0.847;0.585;0.839;0.854;-0.007;-0.027;0.014;-0.007;-0.02;0.005
Russland;454;0.181;0.774;0.544;0.735;0.757;-0.039;-0.081;-0.003;0.017;-0.006;0.04
Ukraine;454;0.185;0.787;0.503;0.728;0.776;-0.059;-0.1;-0.018;0.01;-0.009;0.031
Nigeria;454;0.172;0.774;0.379;0.743;0.775;-0.031;-0.06;-0.006;-0.001;-0.021;0.02
Pakistan;454;0.183;0.766;0.524;0.732;0.749;-0.033;-0.062;-0.007;0.017;-0.005;0.037
Taiwan;502;0.189;0.827;0.456;0.828;0.84;0.002;-0.014;0.019;-0.013;-0.041;0.014
Türkei;500;0.168;0.882;0.469;0.866;0.867;-0.016;-0.031;-0.002;0.014;-0.011;0.039
Brasilien;501;0.224;0.902;0.592;0.901;0.898;-0.001;-0.014;0.013;0.004;-0.009;0.015
Südafrika;501;0.186;0.911;0.433;0.895;0.885;-0.016;-0.027;-0.004;0.026;0.005;0.052
Indien;501;0.277;0.836;0.498;0.831;0.827;-0.005;-0.02;0.011;0.009;-0.01;0.03
Mexiko;501;0.214;0.867;0.421;0.85;0.863;-0.017;-0.031;-0.003;0.003;-0.01;0.017
Ägypten;447;0.179;0.787;0.573;0.778;0.783;-0.009;-0.032;0.013;0.004;-0.024;0.035
USA;438;0.215;0.867;0.523;0.846;0.858;-0.021;-0.048;0.0;0.009;-0.005;0.024
Deutschland;509;0.214;0.937;0.452;0.931;0.927;-0.005;-0.014;0.003;0.01;-0.002;0.023
