land;tage;basisrate;M1 Markt;M2 GDELT;M3 Kombi;M0 Persistenz;d_gdelt;ki_lo;ki_hi;d_markt;ki_markt_lo;ki_markt_hi
Israel;467;0.193;0.847;0.623;0.817;0.854;-0.03;-0.062;-0.0;-0.007;-0.02;0.005
Russland;454;0.181;0.774;0.529;0.708;0.757;-0.066;-0.111;-0.026;0.017;-0.006;0.04
Ukraine;454;0.185;0.787;0.503;0.731;0.776;-0.055;-0.1;-0.013;0.01;-0.009;0.031
Nigeria;454;0.172;0.774;0.548;0.749;0.775;-0.024;-0.064;0.014;-0.001;-0.021;0.02
Pakistan;454;0.183;0.766;0.553;0.713;0.749;-0.052;-0.098;-0.01;0.017;-0.005;0.037
Taiwan;502;0.189;0.827;0.473;0.81;0.84;-0.016;-0.039;0.005;-0.013;-0.041;0.014
Türkei;500;0.168;0.882;0.431;0.857;0.867;-0.024;-0.045;-0.004;0.014;-0.011;0.039
Brasilien;501;0.224;0.902;0.549;0.888;0.898;-0.014;-0.034;0.006;0.004;-0.009;0.015
Südafrika;501;0.186;0.911;0.426;0.877;0.885;-0.034;-0.052;-0.017;0.026;0.005;0.052
Indien;501;0.277;0.836;0.481;0.82;0.827;-0.016;-0.035;0.003;0.009;-0.01;0.03
Mexiko;501;0.214;0.867;0.372;0.828;0.863;-0.039;-0.062;-0.013;0.003;-0.01;0.017
Ägypten;447;0.179;0.787;0.571;0.748;0.783;-0.039;-0.068;-0.01;0.004;-0.024;0.035
USA;438;0.215;0.867;0.565;0.831;0.858;-0.036;-0.064;-0.011;0.009;-0.005;0.024
Deutschland;509;0.214;0.937;0.463;0.923;0.927;-0.013;-0.024;-0.004;0.01;-0.002;0.023
