land;tage;markt_lr;gdelt_lr;kombi_lr;markt_gb;gdelt_gb;kombi_gb;d_gdelt_gb;ki_lo;ki_hi;gewinn_durch_gb
Israel;467;0.847;0.585;0.839;0.813;0.564;0.763;-0.05;-0.083;-0.019;-0.02
Russland;454;0.774;0.544;0.735;0.733;0.455;0.681;-0.052;-0.106;0.002;-0.089
Ukraine;454;0.787;0.503;0.728;0.682;0.47;0.632;-0.05;-0.114;0.014;-0.032
Nigeria;454;0.774;0.379;0.743;0.672;0.452;0.665;-0.007;-0.065;0.053;0.073
Pakistan;454;0.766;0.524;0.732;0.714;0.434;0.627;-0.087;-0.154;-0.021;-0.091
Taiwan;502;0.827;0.456;0.828;0.843;0.45;0.834;-0.009;-0.032;0.013;-0.006
Türkei;500;0.882;0.469;0.866;0.885;0.452;0.863;-0.023;-0.046;-0.0;-0.017
Brasilien;501;0.902;0.592;0.901;0.855;0.505;0.848;-0.007;-0.034;0.017;-0.087
Südafrika;501;0.911;0.433;0.895;0.867;0.48;0.828;-0.039;-0.081;0.003;0.047
Indien;501;0.836;0.498;0.831;0.816;0.514;0.781;-0.035;-0.067;-0.003;0.016
Mexiko;501;0.867;0.421;0.85;0.878;0.491;0.847;-0.031;-0.065;-0.001;0.07
Ägypten;447;0.787;0.573;0.778;0.715;0.56;0.706;-0.008;-0.056;0.037;-0.013
USA;438;0.867;0.523;0.846;0.835;0.518;0.819;-0.016;-0.048;0.012;-0.005
Deutschland;509;0.937;0.452;0.931;0.911;0.444;0.89;-0.021;-0.038;-0.004;-0.008
